,brand,titles,titles_tag
11,1worldsarong,aqua baby baliku bat bead black blue brown burn butterfly celtic charcoal clothe color cover cream cross diamond double dye embroider embroidery feline floral flower fringeless fuchsia gecko gray green half hibiscus hot interlace jungle knotwork ladies lavender light lime mini multi navy orange pareo pearl pink print purple rainbow red royal sarong sarongs sequined sheer short smoke solid sparkle swimsuit swirl tie triple turquoise turtle white world yellow,"[('aqua', 'VERB'), ('baby', 'NOUN'), ('baliku', 'NOUN'), ('bat', 'NOUN'), ('bead', 'NOUN'), ('black', 'ADJ'), ('blue', 'ADJ'), ('brown', 'ADJ'), ('burn', 'NOUN'), ('butterfly', 'NOUN'), ('celtic', 'ADJ'), ('charcoal', 'NOUN'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('cover', 'NOUN'), ('cream', 'NOUN'), ('cross', 'X'), ('diamond', 'X'), ('double', 'ADJ'), ('dye', 'NOUN'), ('embroider', 'ADJ'), ('embroidery', 'NOUN'), ('feline', 'ADJ'), ('floral', 'ADJ'), ('flower', 'NOUN'), ('fringeless', 'NOUN'), ('fuchsia', 'NOUN'), ('gecko', 'NOUN'), ('gray', 'ADJ'), ('green', 'ADJ'), ('half', 'NOUN'), ('hibiscus', 'NOUN'), ('hot', 'ADJ'), ('interlace', 'NOUN'), ('jungle', 'NOUN'), ('knotwork', 'NOUN'), ('ladies', 'NOUN'), ('lavender', 'VERB'), ('light', 'ADJ'), ('lime', 'NOUN'), ('mini', 'ADJ'), ('multi', 'ADJ'), ('navy', 'NOUN'), ('orange', 'ADJ'), ('pareo', 'NOUN'), ('pearl', 'NOUN'), ('pink', 'ADJ'), ('print', 'NOUN'), ('purple', 'NOUN'), ('rainbow', 'NOUN'), ('red', 'ADJ'), ('royal', 'ADJ'), ('sarong', 'NOUN'), ('sarongs', 'NOUN'), ('sequined', 'VERB'), ('sheer', 'ADJ'), ('short', 'ADJ'), ('smoke', 'NOUN'), ('solid', 'ADJ'), ('sparkle', 'NOUN'), ('swimsuit', 'NOUN'), ('swirl', 'NOUN'), ('tie', 'NOUN'), ('triple', 'ADJ'), ('turquoise', 'NOUN'), ('turtle', 'NOUN'), ('white', 'ADJ'), ('world', 'NOUN'), ('yellow', 'ADJ')]"
12,2(x)ist,army athletic back banger black blue bluegrass boxer breaker brief cafe candy china cliff clothe cocktail contour contrast cotton crew cut desert dubliner emerald equator essential factor flash green heather heathers hero island ist jean jeans jersey large low medium men muscle neck olive pack pearl pima pouch powder pulse red reef rise rosewood sage sand sangria sapphire sargeant sergeant shirt short show skyscaper skyscraper sleeve small soy square tank tee thong top touch trunk underwear varsity white xist yale,"[('army', 'NOUN'), ('athletic', 'ADJ'), ('back', 'ADV'), ('banger', 'ADJ'), ('black', 'ADJ'), ('blue', 'ADJ'), ('bluegrass', 'NOUN'), ('boxer', 'NOUN'), ('breaker', 'NOUN'), ('brief', 'ADJ'), ('cafe', 'NOUN'), ('candy', 'NOUN'), ('china', 'NOUN'), ('cliff', 'NOUN'), ('clothe', 'NOUN'), ('cocktail', 'NOUN'), ('contour', 'NOUN'), ('contrast', 'NOUN'), ('cotton', 'NOUN'), ('crew', 'NOUN'), ('cut', 'VERB'), ('desert', 'NOUN'), ('dubliner', 'NOUN'), ('emerald', 'NOUN'), ('equator', 'NOUN'), ('essential', 'ADJ'), ('factor', 'NOUN'), ('flash', 'NOUN'), ('green', 'ADJ'), ('heather', 'NOUN'), ('heathers', 'NOUN'), ('hero', 'NOUN'), ('island', 'NOUN'), ('ist', 'NOUN'), ('jean', 'NOUN'), ('jeans', 'NOUN'), ('jersey', 'VERB'), ('large', 'ADJ'), ('low', 'ADJ'), ('medium', 'ADJ'), ('men', 'NOUN'), ('muscle', 'NOUN'), ('neck', 'NOUN'), ('olive', 'NOUN'), ('pack', 'NOUN'), ('pearl', 'NOUN'), ('pima', 'VERB'), ('pouch', 'ADJ'), ('powder', 'NOUN'), ('pulse', 'NOUN'), ('red', 'ADJ'), ('reef', 'NOUN'), ('rise', 'NOUN'), ('rosewood', 'NOUN'), ('sage', 'NOUN'), ('sand', 'NOUN'), ('sangria', 'ADJ'), ('sapphire', 'NOUN'), ('sargeant', 'NOUN'), ('sergeant', 'NOUN'), ('shirt', 'NOUN'), ('short', 'ADJ'), ('show', 'NOUN'), ('skyscaper', 'NOUN'), ('skyscraper', 'NOUN'), ('sleeve', 'ADJ'), ('small', 'ADJ'), ('soy', 'NOUN'), ('square', 'ADJ'), ('tank', 'NOUN'), ('tee', 'NOUN'), ('thong', 'X'), ('top', 'ADJ'), ('touch', 'NOUN'), ('trunk', 'NOUN'), ('underwear', 'NOUN'), ('varsity', 'NOUN'), ('white', 'ADJ'), ('xist', 'NOUN'), ('yale', 'NOUN')]"
13,24 twenty four,bauer black blue clothe ctu four jack kiefer know photo season shirt sutherland tshirt twenty,"[('bauer', 'NOUN'), ('black', 'ADJ'), ('blue', 'ADJ'), ('clothe', 'NOUN'), ('ctu', 'NOUN'), ('four', 'NUM'), ('jack', 'NOUN'), ('kiefer', 'NOUN'), ('know', 'VERB'), ('photo', 'NOUN'), ('season', 'NOUN'), ('shirt', 'NOUN'), ('sutherland', 'VERB'), ('tshirt', 'NOUN'), ('twenty', 'NUM')]"
14,2bhip,american arm art ball barrel bear belt bible big bigfoot bigger billy birth black blt blue bolt bottle brown buckle bullet bury cable celtic chinese chrome city clothe clover confederate cool cowboy cross crown danger digital eagle einstein everything flag flap flash floral four funny game gas genuine girl god gogh grace gun head hello holder holy initial irish iron jesus keep kid knot large las lead leaf leather leo letter lick lighter lightning lion longhorn lord luck make mask monogram movies mud mudflap name night open opener paint peace pistol plain pool power praise punk quot rebel redneck revolver rhinestone right rock rodeo sale sasquatch scroll select sheriff shield sign silver sin size snap special spinner star starry symbol texas usa van vegas welcome western,"[('american', 'ADJ'), ('arm', 'NOUN'), ('art', 'NOUN'), ('ball', 'NOUN'), ('barrel', 'NOUN'), ('bear', 'NOUN'), ('belt', 'NOUN'), ('bible', 'ADJ'), ('big', 'ADJ'), ('bigfoot', 'NOUN'), ('bigger', 'ADJ'), ('billy', 'ADV'), ('birth', 'NOUN'), ('black', 'ADJ'), ('blt', 'NOUN'), ('blue', 'ADJ'), ('bolt', 'NOUN'), ('bottle', 'NOUN'), ('brown', 'ADJ'), ('buckle', 'NOUN'), ('bullet', 'NOUN'), ('bury', 'NOUN'), ('cable', 'NOUN'), ('celtic', 'ADJ'), ('chinese', 'ADJ'), ('chrome', 'NOUN'), ('city', 'NOUN'), ('clothe', 'NOUN'), ('clover', 'NOUN'), ('confederate', 'VERB'), ('cool', 'ADJ'), ('cowboy', 'NOUN'), ('cross', 'NOUN'), ('crown', 'NOUN'), ('danger', 'NOUN'), ('digital', 'ADJ'), ('eagle', 'VERB'), ('einstein', 'NOUN'), ('everything', 'NOUN'), ('flag', 'NOUN'), ('flap', 'ADP'), ('flash', 'NOUN'), ('floral', 'ADJ'), ('four', 'NUM'), ('funny', 'ADJ'), ('game', 'NOUN'), ('gas', 'NOUN'), ('genuine', 'ADJ'), ('girl', 'NOUN'), ('god', 'NOUN'), ('gogh', 'VERB'), ('grace', 'NOUN'), ('gun', 'NOUN'), ('head', 'NOUN'), ('hello', 'INTJ'), ('holder', 'NOUN'), ('holy', 'ADJ'), ('initial', 'ADJ'), ('irish', 'ADJ'), ('iron', 'NOUN'), ('jesus', 'NOUN'), ('keep', 'VERB'), ('kid', 'ADJ'), ('knot', 'ADV'), ('large', 'ADJ'), ('las', 'ADJ'), ('lead', 'NOUN'), ('leaf', 'NOUN'), ('leather', 'NOUN'), ('leo', 'NOUN'), ('letter', 'NOUN'), ('lick', 'NOUN'), ('lighter', 'ADJ'), ('lightning', 'NOUN'), ('lion', 'NOUN'), ('longhorn', 'NOUN'), ('lord', 'NOUN'), ('luck', 'NOUN'), ('make', 'VERB'), ('mask', 'NOUN'), ('monogram', 'ADJ'), ('movies', 'NOUN'), ('mud', 'VERB'), ('mudflap', 'NOUN'), ('name', 'NOUN'), ('night', 'NOUN'), ('open', 'ADJ'), ('opener', 'NOUN'), ('paint', 'NOUN'), ('peace', 'NOUN'), ('pistol', 'NOUN'), ('plain', 'ADJ'), ('pool', 'NOUN'), ('power', 'NOUN'), ('praise', 'NOUN'), ('punk', 'NOUN'), ('quot', 'NOUN'), ('rebel', 'NOUN'), ('redneck', 'NOUN'), ('revolver', 'NOUN'), ('rhinestone', 'ADJ'), ('right', 'ADJ'), ('rock', 'NOUN'), ('rodeo', 'NOUN'), ('sale', 'NOUN'), ('sasquatch', 'NOUN'), ('scroll', 'NOUN'), ('select', 'ADJ'), ('sheriff', 'NOUN'), ('shield', 'NOUN'), ('sign', 'NOUN'), ('silver', 'NOUN'), ('sin', 'NOUN'), ('size', 'NOUN'), ('snap', 'VERB'), ('special', 'ADJ'), ('spinner', 'NOUN'), ('star', 'NOUN'), ('starry', 'ADJ'), ('symbol', 'NOUN'), ('texas', 'NOUN'), ('usa', 'NOUN'), ('van', 'PROPN'), ('vegas', 'NOUN'), ('welcome', 'NOUN'), ('western', 'ADJ')]"
15,2bhipbuckles,belt buckle clothe mens,"[('belt', 'NOUN'), ('buckle', 'NOUN'), ('clothe', 'NOUN'), ('mens', 'VERB')]"
16,3 inches of blood,blood clothe inch logo shirt,"[('blood', 'NOUN'), ('clothe', 'NOUN'), ('inch', 'NOUN'), ('logo', 'NOUN'), ('shirt', 'NOUN')]"
17,30 seconds to mars,clothe girl hours mar rise second ship shirt size small splatter,"[('clothe', 'ADJ'), ('girl', 'NOUN'), ('hours', 'NOUN'), ('mar', 'VERB'), ('rise', 'VERB'), ('second', 'ADJ'), ('ship', 'NOUN'), ('shirt', 'NOUN'), ('size', 'NOUN'), ('small', 'ADJ'), ('splatter', 'NOUN')]"
18,360fly,camera video,"[('camera', 'NOUN'), ('video', 'NOUN')]"
19,365 inc,black chart classic clothe eurosport eye frame girl maroon nutcracker orange ornament player royal shirt soccer sock sport star stripe three tube white yellow,"[('black', 'ADJ'), ('chart', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('eurosport', 'NOUN'), ('eye', 'NOUN'), ('frame', 'NOUN'), ('girl', 'NOUN'), ('maroon', 'NOUN'), ('nutcracker', 'NOUN'), ('orange', 'ADJ'), ('ornament', 'NOUN'), ('player', 'NOUN'), ('royal', 'ADJ'), ('shirt', 'NOUN'), ('soccer', 'NOUN'), ('sock', 'NOUN'), ('sport', 'NOUN'), ('star', 'NOUN'), ('stripe', 'NOUN'), ('three', 'NUM'), ('tube', 'NOUN'), ('white', 'ADJ'), ('yellow', 'ADJ')]"
20,3drose,apologies bag bear black book care carebears carp cartoon cat chinese chipmunk clothe dachshund diesslins dog elton famous fish funeral funny john koi peach people place rich shirt tape tote,"[('apologies', 'NOUN'), ('bag', 'NOUN'), ('bear', 'VERB'), ('black', 'ADJ'), ('book', 'NOUN'), ('care', 'NOUN'), ('carebears', 'NOUN'), ('carp', 'VERB'), ('cartoon', 'NOUN'), ('cat', 'NOUN'), ('chinese', 'ADJ'), ('chipmunk', 'ADJ'), ('clothe', 'NOUN'), ('dachshund', 'NOUN'), ('diesslins', 'VERB'), ('dog', 'NOUN'), ('elton', 'NOUN'), ('famous', 'ADJ'), ('fish', 'NOUN'), ('funeral', 'NOUN'), ('funny', 'ADJ'), ('john', 'PROPN'), ('koi', 'NOUN'), ('peach', 'NOUN'), ('people', 'NOUN'), ('place', 'VERB'), ('rich', 'ADJ'), ('shirt', 'NOUN'), ('tape', 'NOUN'), ('tote', 'NOUN')]"
21,3m,clothe duct miniature pack roll tape travel,"[('clothe', 'NOUN'), ('duct', 'NOUN'), ('miniature', 'ADJ'), ('pack', 'NOUN'), ('roll', 'NOUN'), ('tape', 'NOUN'), ('travel', 'NOUN')]"
22,4 star military surplus,army bdu beret black blousing boonie british button camo clothe coat digi digital field force garter headwrap helment helmet jacket khaki large long men military original pant pith pocket proof rothco shirt short sleeve stripe style terrain tiger trousers type ultra wolseley woodland,"[('army', 'NOUN'), ('bdu', 'VERB'), ('beret', 'ADJ'), ('black', 'ADJ'), ('blousing', 'VERB'), ('boonie', 'NOUN'), ('british', 'ADJ'), ('button', 'NOUN'), ('camo', 'NOUN'), ('clothe', 'NOUN'), ('coat', 'NOUN'), ('digi', 'VERB'), ('digital', 'ADJ'), ('field', 'NOUN'), ('force', 'NOUN'), ('garter', 'NOUN'), ('headwrap', 'NOUN'), ('helment', 'ADJ'), ('helmet', 'NOUN'), ('jacket', 'NOUN'), ('khaki', 'VERB'), ('large', 'ADJ'), ('long', 'ADJ'), ('men', 'NOUN'), ('military', 'ADJ'), ('original', 'ADJ'), ('pant', 'ADJ'), ('pith', 'NOUN'), ('pocket', 'NOUN'), ('proof', 'NOUN'), ('rothco', 'NOUN'), ('shirt', 'NOUN'), ('short', 'ADV'), ('sleeve', 'ADJ'), ('stripe', 'NOUN'), ('style', 'NOUN'), ('terrain', 'NOUN'), ('tiger', 'NOUN'), ('trousers', 'NOUN'), ('type', 'VERB'), ('ultra', 'ADJ'), ('wolseley', 'ADJ'), ('woodland', 'NOUN')]"
23,5.11,bag black blk clothe cls dknav inch khaki khk large level men nvy outdoors patrol polo range ready shirt short sock sport tac tactical trousers unh vest white,"[('bag', 'NOUN'), ('black', 'ADJ'), ('blk', 'NOUN'), ('clothe', 'NOUN'), ('cls', 'NOUN'), ('dknav', 'NOUN'), ('inch', 'NOUN'), ('khaki', 'VERB'), ('khk', 'NOUN'), ('large', 'ADJ'), ('level', 'NOUN'), ('men', 'NOUN'), ('nvy', 'VERB'), ('outdoors', 'ADJ'), ('patrol', 'NOUN'), ('polo', 'NOUN'), ('range', 'NOUN'), ('ready', 'ADJ'), ('shirt', 'NOUN'), ('short', 'ADJ'), ('sock', 'NOUN'), ('sport', 'NOUN'), ('tac', 'VERB'), ('tactical', 'ADJ'), ('trousers', 'NOUN'), ('unh', 'ADV'), ('vest', 'X'), ('white', 'ADJ')]"
24,5.11 tactical,academy acblue blk clothe cls khaki khk nvy polo sge shirt short shrt sltan tac trousers unh vest xxl,"[('academy', 'NOUN'), ('acblue', 'ADJ'), ('blk', 'NOUN'), ('clothe', 'NOUN'), ('cls', 'NOUN'), ('khaki', 'NOUN'), ('khk', 'NOUN'), ('nvy', 'NOUN'), ('polo', 'NOUN'), ('sge', 'NOUN'), ('shirt', 'NOUN'), ('short', 'ADJ'), ('shrt', 'VERB'), ('sltan', 'ADJ'), ('tac', 'NOUN'), ('trousers', 'NOUN'), ('unh', 'CCONJ'), ('vest', 'X'), ('xxl', 'NOUN')]"
25,525 america,baby black cable cardigan clothe cream crochet doll dye front green medium natural pointelle small sweater tie top tye women womens,"[('baby', 'NOUN'), ('black', 'ADJ'), ('cable', 'NOUN'), ('cardigan', 'NOUN'), ('clothe', 'NOUN'), ('cream', 'NOUN'), ('crochet', 'NOUN'), ('doll', 'NOUN'), ('dye', 'NOUN'), ('front', 'ADJ'), ('green', 'ADJ'), ('medium', 'ADJ'), ('natural', 'ADJ'), ('pointelle', 'NOUN'), ('small', 'ADJ'), ('sweater', 'NOUN'), ('tie', 'NOUN'), ('top', 'ADJ'), ('tye', 'NOUN'), ('women', 'NOUN'), ('womens', 'VERB')]"
26,5th & ocean,adult baltimore baseball cardinals clothe juniors large long louis majestic medium orioles pink shirt sleeve sleeveless small top,"[('adult', 'NOUN'), ('baltimore', 'ADP'), ('baseball', 'NOUN'), ('cardinals', 'NOUN'), ('clothe', 'VERB'), ('juniors', 'NOUN'), ('large', 'ADJ'), ('long', 'ADJ'), ('louis', 'ADJ'), ('majestic', 'ADJ'), ('medium', 'NOUN'), ('orioles', 'NOUN'), ('pink', 'VERB'), ('shirt', 'NOUN'), ('sleeve', 'VERB'), ('sleeveless', 'NOUN'), ('small', 'ADJ'), ('top', 'NOUN')]"
27,626 blue,blue boot cargo clothe cut desert indigo jeans premium reg regular short twill wash,"[('blue', 'ADJ'), ('boot', 'NOUN'), ('cargo', 'NOUN'), ('clothe', 'NOUN'), ('cut', 'NOUN'), ('desert', 'NOUN'), ('indigo', 'NOUN'), ('jeans', 'VERB'), ('premium', 'NOUN'), ('reg', 'VERB'), ('regular', 'ADJ'), ('short', 'ADJ'), ('twill', 'NOUN'), ('wash', 'NOUN')]"
28,7 for all mankind,boot bootcut classic clothe cut dark denim jean jeans mankind medium men quot women york,"[('boot', 'NOUN'), ('bootcut', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('cut', 'VERB'), ('dark', 'ADJ'), ('denim', 'ADJ'), ('jean', 'ADJ'), ('jeans', 'NOUN'), ('mankind', 'NOUN'), ('medium', 'ADJ'), ('men', 'NOUN'), ('quot', 'NOUN'), ('women', 'NOUN'), ('york', 'NOUN')]"
29,7.62 design,clothe firepower peace shirt superior,"[('clothe', 'NOUN'), ('firepower', 'NOUN'), ('peace', 'NOUN'), ('shirt', 'NOUN'), ('superior', 'ADJ')]"
30,72k,clothe crop dryflex inner kaipo liner maya men pant pillar quot short version wave yoga,"[('clothe', 'NOUN'), ('crop', 'NOUN'), ('dryflex', 'NOUN'), ('inner', 'ADJ'), ('kaipo', 'NOUN'), ('liner', 'NOUN'), ('maya', 'NOUN'), ('men', 'NOUN'), ('pant', 'ADJ'), ('pillar', 'NOUN'), ('quot', 'NOUN'), ('short', 'ADJ'), ('version', 'NOUN'), ('wave', 'NOUN'), ('yoga', 'NOUN')]"
31,7headz,beanie beige cap clothe dark denim earmuffs faux fedora fur hat knit long nbsq newsboy pattern pink rain square velvet women,"[('beanie', 'NOUN'), ('beige', 'ADJ'), ('cap', 'NOUN'), ('clothe', 'NOUN'), ('dark', 'ADJ'), ('denim', 'NOUN'), ('earmuffs', 'NOUN'), ('faux', 'VERB'), ('fedora', 'NOUN'), ('fur', 'NOUN'), ('hat', 'NOUN'), ('knit', 'VERB'), ('long', 'ADJ'), ('nbsq', 'NOUN'), ('newsboy', 'NOUN'), ('pattern', 'NOUN'), ('pink', 'ADJ'), ('rain', 'NOUN'), ('square', 'ADJ'), ('velvet', 'NOUN'), ('women', 'NOUN')]"
32,8&9,assort clothe color design eight girls nine quot shirt tzara,"[('assort', 'VERB'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('design', 'NOUN'), ('eight', 'NUM'), ('girls', 'NOUN'), ('nine', 'NUM'), ('quot', 'NOUN'), ('shirt', 'NOUN'), ('tzara', 'NOUN')]"
